Lap,Time,Pace,GAP,HR,Distance_km,file,Activity,KM,Elev,Cadence
54.0,5.766666666666667,5.766666666666667,5.75,136,1.0,../data/run-efforts-table/1.html,1,,,
55.0,6.4,6.4,6.033333333333333,137,1.0,../data/run-efforts-table/1.html,1,,,
56.0,24.75,24.75,7.166666666666667,123,1.0,../data/run-efforts-table/1.html,1,,,
57.0,6.55,6.55,6.233333333333333,127,1.0,../data/run-efforts-table/1.html,1,,,
58.0,5.85,5.85,5.483333333333333,134,1.0,../data/run-efforts-table/1.html,1,,,
59.0,5.65,5.65,5.583333333333333,140,1.0,../data/run-efforts-table/1.html,1,,,
60.0,6.033333333333333,6.033333333333333,5.766666666666667,141,1.0,../data/run-efforts-table/1.html,1,,,
61.0,6.633333333333333,6.633333333333333,6.05,140,1.0,../data/run-efforts-table/1.html,1,,,
62.0,5.716666666666667,5.716666666666667,5.55,144,1.0,../data/run-efforts-table/1.html,1,,,
63.0,5.333333333333333,5.333333333333333,5.45,143,1.0,../data/run-efforts-table/1.html,1,,,
64.0,6.033333333333333,6.033333333333333,5.833333333333333,141,1.0,../data/run-efforts-table/1.html,1,,,
65.0,5.633333333333333,5.633333333333333,5.366666666666666,143,1.0,../data/run-efforts-table/1.html,1,,,
66.0,14.633333333333333,14.633333333333333,5.866666666666667,136,1.0,../data/run-efforts-table/1.html,1,,,
67.0,5.85,5.85,5.833333333333333,131,1.0,../data/run-efforts-table/1.html,1,,,
68.0,5.883333333333333,5.883333333333333,5.766666666666667,138,1.0,../data/run-efforts-table/1.html,1,,,
69.0,6.35,6.35,6.0,140,1.0,../data/run-efforts-table/1.html,1,,,
70.0,6.716666666666667,6.716666666666667,6.133333333333334,142,1.0,../data/run-efforts-table/1.html,1,,,
71.0,5.916666666666667,5.916666666666667,5.666666666666667,142,1.0,../data/run-efforts-table/1.html,1,,,
72.0,6.633333333333333,6.633333333333333,6.266666666666667,139,1.0,../data/run-efforts-table/1.html,1,,,
73.0,5.883333333333333,5.883333333333333,5.85,137,1.0,../data/run-efforts-table/1.html,1,,,
74.0,7.333333333333333,7.333333333333333,7.033333333333333,132,1.0,../data/run-efforts-table/1.html,1,,,
75.0,7.416666666666667,7.416666666666667,7.0,130,1.0,../data/run-efforts-table/1.html,1,,,
76.0,5.833333333333333,5.833333333333333,6.066666666666666,129,1.0,../data/run-efforts-table/1.html,1,,,
77.0,28.483333333333334,28.483333333333334,6.5,128,1.0,../data/run-efforts-table/1.html,1,,,
78.0,6.65,6.65,6.05,126,1.0,../data/run-efforts-table/1.html,1,,,
79.0,6.533333333333333,6.533333333333333,6.05,131,1.0,../data/run-efforts-table/1.html,1,,,
80.0,6.066666666666666,6.066666666666666,6.066666666666666,132,1.0,../data/run-efforts-table/1.html,1,,,
81.0,5.9,5.9,6.033333333333333,132,1.0,../data/run-efforts-table/1.html,1,,,
82.0,5.933333333333334,5.933333333333334,5.983333333333333,134,1.0,../data/run-efforts-table/1.html,1,,,
83.0,5.933333333333334,5.933333333333334,6.033333333333333,133,1.0,../data/run-efforts-table/1.html,1,,,
84.0,7.183333333333334,7.183333333333334,6.7,134,1.0,../data/run-efforts-table/1.html,1,,,
85.0,6.366666666666666,6.366666666666666,6.25,131,1.0,../data/run-efforts-table/1.html,1,,,
86.0,6.266666666666667,6.266666666666667,6.083333333333333,134,1.0,../data/run-efforts-table/1.html,1,,,
87.0,7.05,7.05,6.7,132,1.0,../data/run-efforts-table/1.html,1,,,
88.0,19.033333333333335,19.033333333333335,6.316666666666666,124,1.0,../data/run-efforts-table/1.html,1,,,
89.0,6.7,6.7,6.366666666666666,126,1.0,../data/run-efforts-table/1.html,1,,,
90.0,6.883333333333333,6.883333333333333,6.6,128,1.0,../data/run-efforts-table/1.html,1,,,
91.0,6.633333333333333,6.633333333333333,6.483333333333333,130,1.0,../data/run-efforts-table/1.html,1,,,
92.0,6.516666666666667,6.516666666666667,6.633333333333333,126,1.0,../data/run-efforts-table/1.html,1,,,
93.0,7.533333333333333,7.533333333333333,7.0,123,1.0,../data/run-efforts-table/1.html,1,,,
94.0,6.266666666666667,6.266666666666667,6.283333333333333,125,1.0,../data/run-efforts-table/1.html,1,,,
95.0,7.066666666666666,7.066666666666666,7.1,121,1.0,../data/run-efforts-table/1.html,1,,,
96.0,7.633333333333333,7.633333333333333,7.233333333333333,123,1.0,../data/run-efforts-table/1.html,1,,,
97.0,6.116666666666666,6.116666666666666,6.15,132,1.0,../data/run-efforts-table/1.html,1,,,
98.0,19.533333333333335,19.533333333333335,6.733333333333333,122,1.0,../data/run-efforts-table/1.html,1,,,
99.0,6.633333333333333,6.633333333333333,6.2,122,1.0,../data/run-efforts-table/1.html,1,,,
100.0,7.45,7.45,7.016666666666667,124,1.0,../data/run-efforts-table/1.html,1,,,
101.0,7.083333333333333,7.083333333333333,6.75,125,1.0,../data/run-efforts-table/1.html,1,,,
102.0,6.283333333333333,6.283333333333333,6.4,122,1.0,../data/run-efforts-table/1.html,1,,,
103.0,6.283333333333333,6.283333333333333,6.25,128,1.0,../data/run-efforts-table/1.html,1,,,
104.0,7.783333333333333,7.783333333333333,7.566666666666666,133,1.0,../data/run-efforts-table/1.html,1,,,
105.0,6.9,6.9,6.65,136,1.0,../data/run-efforts-table/1.html,1,,,
106.0,6.583333333333333,6.583333333333333,6.416666666666667,130,1.0,../data/run-efforts-table/1.html,1,,,
